0.0126 0.0213 0.0260 0.0302 0.0352 0.0406 0.0430 0.0429
0.0138 0.0208 0.0249 0.0287 0.0337 0.0393 0.0418 0.0418
0.0152 0.0220 0.0266 0.0306 0.0355 0.0408 0.0434 0.0438
0.0163 0.0224 0.0263 0.0299 0.0345 0.0398 0.0424 0.0428
0.0124 0.0207 0.0258 0.0300 0.0350 0.0402 0.0427 0.0430
0.0115 0.0198 0.0251 0.0294 0.0341 0.0387 0.0408 0.0409
0.0106 0.0197 0.0259 0.0306 0.0356 0.0405 0.0426 0.0426
0.0093 0.0170 0.0226 0.0269 0.0318 0.0367 0.0390 0.0396
0.0090 0.0174 0.0231 0.0274 0.0322 0.0370 0.0393 0.0400
0.0078 0.0155 0.0205 0.0245 0.0290 0.0339 0.0365 0.0376
0.0083 0.0170 0.0220 0.0260 0.0305 0.0352 0.0375 0.0385
0.0077 0.0150 0.0190 0.0223 0.0265 0.0312 0.0338 0.0350
